English_sentences,Balochi_sentences
I'm fat.,Man zandhán.
I'm hit!,Man sóbénán!
I'm hit!,Man sóbmand án!
I'm mad.,Man ganókán.
I'm new.,Man nókán.
I'm old.,Man pirán.
I'm sad.,Man gamig án.
I'm sad.,Man molurán.
I'm shy.,Man lajjué án.
I'm wet.,Man tarrán.
It's me!,É man án!
It's me.,É man án.
It's OK.,Sharr ent.
Join us.,Gón má hawár bay.
Join us.,Gón má hawár bi.
Keep it.,Sambály.
Keep it.,Eshiá gón wat bedár.
Kill it.,Bekoshy.
Kill it.,Bokoshy.
Kiss me.,Maná bechokk.
Kiss me.,Maná bochokk.
Lie low.,Chér bay.
Lie low.,Chér bi.
Lock it.,Kobly kan.
"Me, too.","Man, ón."
"Me, too.","Man, ham."
Open it.,Pachy kan.
Open up.,Pachy kan.
Open up.,Madháh makan.
Perfect!,Baróbar!
Perfect!,Lájawáb!
Pull it.,Zhappy.
Push it.,Télánky day.
See you!,Wasshén godhá!
See you!,Wassh ent!
See you.,Wasshén godhá.
See you.,Wassh ent.
Show me.,Maná péshy dár.
Show me.,Maná pésh dáry.
Show me.,Maná pésh dár.
Shut up!,Bass!
So long.,Inchó dráj.
So long.,Yabbaré wassh ent.
Stop it.,Chó makan.
Take it.,Beziry.
Tell me.,Maná begosh gón.
Tom ate.,Thámá wárt.
Tom hid.,Thám thapp et.
Tom ran.,Thám tatk.
Tom ran.,Thám tachán but.
Tom won.,Thámá katthet.
Wait up.,Mahtal bay.
Wait up.,Mahtal bi.
Wake up!,Pádá!
Wake up.,Ágah bay.
Wake up.,Ágah bi.
Wash up.,Shódesh.
Wash up.,Hiránán shód.
We lost.,Má babá dát.
Welcome.,wassh atkay.
Who ate?,Kayá wárt?
Who ran?,Kay tatk?
Who ran?,Kay tachán but?
Who won?,Kayá katthet?
Why not?,Parchá ennan?
You run.,Taw betach.
You won.,Taw katthet.
I drove.,Man gádhi tátk.
We lost.,Má báhént.
Tell me.,Maná bogosh gón.
I'm bad.,Man haráb án.
I'm fat.,Man zandh án.
I'm mad.,Man ganók án.
I'm new.,Man nók án.
I'm old.,Man pir án.
I'm wet.,Man tarr án.
I'm sad.,Man molur án.
Suicide.,Watkoshi.
Tom hid.,Thám thappet.
Welcome.,Wasshatkay.
Goodbye!,Wassh ent!
Help me!,Maná komakk kani!
He fell.,Á kapt.
All rise.,Drost chest bay et.
All rise.,Drost chest bet.
Am I fat?,Man zandh án?
Ask them.,Áyán jost bekan.
Ask them.,Áyán bepors.
Ask them.,Áyán jost kan.
Back off.,Pad kenz.
Be a man.,Mardé bebay.
Be a man.,Mardé bi.
Be brave.,Delér bebay.
Be brave.,Deláwar bi.
Be brief.,Gwandhy beger.
Be brief.,Gwandhy ger.
Be still.,Árám bay.
Be still.,Masor.
Call Tom.,Thámá pawn kan.
Can I go?,Man borawán?
Can I go?,Man shot kanán?
Catch me.,Maná beger.
Cheer up!,Shádán bátay!
Cool off!,Sart bay!
Cool off!,Sart bi!
Cuff him.,Áiá chánpathé bejan.
Don't go.,Maraw.
Drive on.,Hallá én.
Drive on.,Táchán kan
Find Tom.,Thámá dar géj.
Find Tom.,Thámá beshóházj.
Fix this.,Eshiá thahén.
Fix this.,Eshiá addh kan.
Get away!,Dará chedá!
Get away!,Thagal chedá!
Get down!,Ér byá!
Get down!,Érá!
Get down.,Érá jahlá.
Get down.,"Balay kan, pádá."
Get lost!,Boraw gom bay!
Get lost!,Boraw gár bay!
Get lost!,Gom bi!
Get real!,Hósh bay!
Get real!,Sharr bay!
Get real!,Hósh bi!
Go ahead!,Démá kenz!
Go ahead!,Démá boraw!
Go ahead.,Démá jonz.
Go ahead.,Démá boraw.
Grab him.,Áiá beger.
Grab Tom.,Thámá beger.
Have fun.,Mawj kan.
He spoke.,Áiá gapp jat.
He tried.,Áiá kóshest kot.
He tried.,Áiá johd kot.
He tries.,Á kóshest kant.
He tries.,Á johd kant.
Help Tom.,Thámá komakk kan.
Help Tom.,Thámá madat kan.
How cute!,Chinchok dhawldár ent!
How cute!,Chinchok shawk ent!
How deep?,Chinchok johl ent?
How nice!,Chinchok sharr ent!
How rude!,Inchó béadabi!
How rude!,Choshén béadab!
Humor me.,Mani hamrawán bay.
Humor me.,Mani hamrawán bi.
Hurry up.,Balay kan.
I can go.,Man shot kanán.
I can go.,Man rawt kanán.
I cursed.,Man nálat kot.
I did it.,É man kot.
I forgot.,Man shamoshtán.
I forgot.,Man béhál bitán.
I get by.,Man wadhé nawadhé kanány.
I get by.,Man wadhé na wadhé kanány.
I get it.,É maná rasit.
I get it.,Man sarpady bán.
I got it.,Sarpad bitán.
I helped.,Man komakk kot.
I helped.,Man madat kot.
I jumped.,Man dawr kot.
I moaned.,Man nár et.
I nodded.,Man sar sorént.
I nodded.,Man sar pa haw sorént.
I paused.,Man kammé óshtátán.
I prayed.,Man dwá kot.
I refuse.,Man enkár kanán.
I resign.,Man daskassh bayán.
I resign.,Man daskassh bán.
I rested.,Man árám kot.
I rested.,Man dam kot.
I shaved.,Man rissh sát.
I smiled.,Man bechkand et.
I stayed.,Man jall et.
I stayed.,Man jalletán.
I use it.,Man káry bandán.
I use it.,Man kármarzy kanán.
I waited.,Man wadár kot.
I winked.,Man chammok jat.
I yawned.,Man gehás et.
I'll pay.,Man zarrán adá kanán.
I'll try.,Man kóshest kanán.
I'll try.,Man johd kanán.
I'm a DJ.,Man dhi jayé án.
I'm back.,Man padá atkagán.
I'm bald.,Man dhákán.
I'm busy.,Man dazgatth án.
I'm cold.,Maná gwahr kant.
I'm cool.,Man árámán.
I'm deaf.,Man karrán.
I'm fair.,Man ensáp kanagá án.
I'm fine.,Man sharr án.
I'm fine.,Man baróbar án.
I'm free.,Man dazmóhán.
I'm free.,Man payyekán.
I'm free.,Man ázátán.
I'm full.,Man sér kotag.
I'm game.,Man tyárán.
I'm game.,Man tayárán.
I'm good.,Man sharr án.
I'm here.,Man edá án.
I'm home.,Man gesá án.
I'm home.,Man lógá án.
I'm late.,Man béwahd kaptagán.
I'm lost.,Man gár án.
I'm mean.,Man námehrabánán.
I'm next.,Man démterig án.
I'm okay.,Man sharr án.
I'm poor.,Man wár án.
I'm rich.,Man hazgár án.
I'm safe.,Man mahpuzán.
I'm sick.,Man nádráhán.
I'm sure.,Man deljamán.
I'm sure.,Man jazmán.
I'm tall.,Man borzán.
I'm thin.,Man báragán.
I'm tidy.,Man palgár án.
I'm ugly.,Man badrang án.
I'm weak.,Man nezórán.
I'm well.,Man wassh án.
It helps.,É komakk kant.
It helps.,É madat kant.
It hurts.,É tawrénit.
It works.,É kár kant.
It's dry.,Mósom hoshk ent.
It's dry.,Droshk ent.
It's his.,É áiag ent.
It's hot.,Garm ent.
It's new.,É nók ent.
It's sad.,É apsózi gappé.
It's sad.,Apsózi gappé.
It's Tom.,É Thám ent.
Keep out!,Dir bay!
Keep out!,Dir bi!
Keep out.,Dir bedár.
Keep out.,Dir bi.
Kill Tom.,Thámá bokosh.
Kiss Tom.,Thámá bechokk.
Kiss Tom.,Thámá bochokk.
Leave us.,Márá wayl kan.
Let's go!,Byá rawén!
Look out!,Sambál!
Marry me.,Maná sáng kan.
May I go?,Man shot kanán?
Said who?,Kayá gosht?
Save Tom.,Thámá rakkén.
She came.,Á atk.
She lied.,Áiá dróg bast.
She runs.,Á tachit.
Sit down!,Benend!
Sit down.,Benend.
Speak up!,Tawárá boster kan!
Stand up!,Pád á bósht!
Stand up.,Pádá bósht.
Stop Tom.,Thámá bedár.
Stop Tom.,Thámá mayl.
Take Tom.,Thámá bezir.
Taste it.,Bechashy.
Tell Tom.,Thámá begosh.
Terrific!,Zabardast!
They won.,Áyán katthet.
Tom came.,Thám atk.
Tom died.,Thám mort.
Tom fell.,Thám kapt.
Tom knew.,Thámá zánt.
Tom left.,Thám rahádag but.
Tom left.,Thám shot.
Tom lied.,Thám tachk but.
Tom lied.,Thám wapt.
Tom lies.,Thám dróg bandit.
Tom lost.,Thámá báhént.
Tom paid.,Thámá zarr dátant.
Tom quit.,Thámá yalah dát.
Tom sang.,Thámá sawt jat.
Tom spit.,Thámá tokk jat.
Tom swam.,Thámá ózhnág kot.
Tom went.,Thám shot.
Tom wept.,Thámá grét.
Tom's up.,Thám pád atkag.
Too late.,Dér gwastag.
Touch it.,Dasty jan.
Trust me.,Mani sará barósah kan.
Trust me.,Mani sará óst kan.
Try hard.,Sakk kóshest bekan.
Try hard.,Sakk johd bekan.
Try some.,Lahté bechár.
Try this.,Eshiá bechakkás.
Use this.,Eshiá kármarz kan.
Warn Tom.,Thámá hozzhár bekan.
Warn Tom.,Thámá habardár kan.
Watch me.,Maná bechár.
Watch us.,Márá bechár.
We agree.,Má mannén.
We tried.,Má kóshest kot.
We tried.,Má johd kot.
We'll go.,Má rawén.
We're OK.,Má baróbar én.
What for?,Parchá?
What for?,Ché wástá?
What fun!,Chón wassh ent!
Who am I?,Man kay án?
Who came?,Kay atk?
Who died?,Kay mort?
Who fell?,Kay kapt?
Who lost?,Kay bésób but?
Who lost?,Kayá babá dát?
Who quit?,Kayá yalah dát?
Who swam?,Kayá ózhnág kot?
Who's he?,Á kay ent?
Write me.,Mani sará kágadé dém day.
Write me.,Mani sará nebeshtah kan.
You lost.,Taw báhént.
Get down.,Érá.
Who lost?,Kayá báhént?
I'm free.,Man paiyakán.
I'm rich.,Man sérán.
Tell Tom.,Thámá bogosh.
Hurry up.,Goshád kan.
I'm bald.,Man dhák án.
I'm cool.,Man árám án.
I'm deaf.,Man karr án.
I'm game.,Man tayár án.
I'm mean.,Man námehrabán án.
I'm safe.,Man mahpuz án.
I'm sick.,Man nádráh án.
I'm sure.,Man jazm án.
I'm tall.,Man borz án.
I'm thin.,Man bárag án.
I'm weak.,Man nezór án.
I'm free.,Man paiyak án.
I'm free.,Man ázát án.
I'm rich.,Man sér án.
Tear out.,Derry.
Fix that.,Thahény.
Speak up.,Boster gapp kan.
I moaned.,Man náret.
I smiled.,Man bechkandet.
I yawned.,Man geháset.
I'm fine.,Man barábar án.
How cute!,Chincho shawk ent!
How deep?,Chincho johl ent?
How nice!,Chincho sharr ent!
You fool!,Taw béagl!
Run fast!,Téz betach!
I'm fair.,Man hakk kanagá án.
After you.,Pésará taw.
Aim. Fire!,Neshánagá bandpayr kan!
Am I dead?,Man mortagán?
Am I late?,Man dér kotag?
Answer me.,Mani jawábá beday.
Be seated.,Benend.
Birds fly.,Morg bál kanant.
Bless you.,Salámat bátay.
Call home!,Lógá pawn kan!
Calm down!,Árám bay!
Calm down!,Árám bi!
Calm down.,Árám ger.
Can I eat?,Man warag wárt kanán?
Can we go?,Má borawén?
Catch Tom.,Thámá beger.
Chill out.,Sarjamá árám bay.
Chill out.,Sarjamá árám bi.
Clam down.,Sárt bay.
Come back.,Padá byá.
Come here.,Edá byá.
Come home.,Byá lógá.
Come over!,Edá byá!
Come over.,Edá byá.
Come soon.,Zitt byá.
Cool down.,Sárt bay.
Cool down.,Sárt bi.
Did I win?,Man katthet?
Do it now.,Anni bekany.
Dogs bark.,Kochekk ráshant.
Dogs bark.,Kochekk chángant.
Don't ask.,Jost makan.
Don't cry.,Magré.
Don't die.,Mamer.
Don't lie.,Dróg maband.
Don't run.,Matach.
Excuse me.,Bebaksh.
Fantastic!,Zabardast!
Feel this.,Eshiá bemár.
Follow me.,Mani randá bay.
Follow me.,Mani randá bi.
Forget it!,Shamoshy!
Forget it!,Béhály kan!
Forget it.,Shamoshy.
Forget it.,Béhály kan.
Forget me.,Maná shamosh.
Forget me.,Maná béhál kan.
Get ready.,Tyár bay.
Get ready.,Tayár bi.
Go for it.,Wati wasá bekan.
Go get it.,Boraw begery.
Go inside.,Tahá boraw.
Go to bed.,Boraw bewaps.
Good luck.,Sóbén bátay.
Good luck.,Sóbmand bátay.
Goodnight.,Shap wassh bát.
Grab that.,Áiá beger.
Grab that.,Áiá dast ger.
Hands off.,Dastán chest kan.
Happy Eid!,Aid morád bát!
Have some.,Kammé bezir.
He drinks.,Á nóshit.
He is ill.,Á nádráh ent.
He is old.,Á pir ent.
He shaved.,Áiá rissh sát.
He smiled.,Áiá bechkand et.
He's a DJ.,Á dhi jayé.
He's fast.,Á téz ent.
He's good.,Á sharr ent.
He's lazy.,Á sost ent.
He's rich.,Á hazgár ent.
He's sexy.,Á seksié.
Head east.,Démá ródaratká kan.
Here I am.,Man esh án.
Here's $5.,É 5 dhálarant.
Hold fire.,Payrá bedár.
Hold this.,Eshiá bedár.
How awful!,Chinchok bimnák ent!
How is it?,É chón ent?
How is it?,É chón ent.
How weird!,Chinchok ajab ent!
How's Tom?,Thám chetawr ent?
Humor Tom.,Thámay delá wassh kan.
Humor Tom.,Thámá washnód kan.
I am cold.,Maná gwahr kant.
I am here.,Man edá án.
I am lost.,Man gár án.
I am okay.,Man baróbar án.
I am sure.,Man saddakán.
I am sure.,Man jazmán.
I am tall.,Man borzán.
I am well.,Man wassh án.
I approve.,Maná manzur ent.
I can fly.,Man bál kot kanán.
I can run.,Man tatk kanán.
I can ski.,Man eski kot kanán.
I can win.,Man katthet kanán.
I changed.,Man matth kot.
I changed.,Man god matthéntant.
I cheated.,Man répént.
I clapped.,Man cháp jat.
I coughed.,Man koll et.
I escaped.,Man jestán.
I fainted.,Man béhósh bitán.
I fainted.,Man tostán.
I fear so.,Maná hamé tors hast.
I frowned.,Man murk mojéntant.
I gave up.,Man hemmat dawr dát.
I get you.,Man tai gappá sarpad bayán.
I get you.,Man tai gappá sarpad bán.
I giggled.,Man kethi kethi kand et.
I give in.,Man zérdasti mannán.
I got mad.,Man zahr geptán.
I got you.,Man tai gappá sarpad bitán.
I had fun.,Man washnód bitán.
I hit Tom.,Man Thám jat.
I hope so.,Maná hamé omét ent.
I hung up.,Man pawn band kot.
I hurried.,Man goshád kot.
I knew it.,Man zántagat.
I laughed.,Man kand et.
I like it.,Maná é dóst bit.
I lost it.,É man gár kot.
I love it!,Maná é dóst bit!
I love it.,Maná é dóst bit.
I made it.,Man sóbmand bitán.
I may win.,Man balkén bekatthán.
I mean it!,Del goshán!
I mean it!,Man del goshán!
I mean it.,Del goshán.
I mean it.,Man del goshán.
I met him.,Man gón áiá dochár kaptán.
I met Tom.,Man gón Thámá gend o nend kot.
I met Tom.,Man gón Thámá dochár kaptán.
I miss it.,Maná é gir kayt.
I miss it.,Maná pareshiá zahir kant.
I promise.,Man wádah kanán.
I relaxed.,Man árám kot.
I relaxed.,Man árám geptán.
I retired.,Man kárnesht bitán.
I said no.,Man gosht na.
I said no.,Man gosht ennán.
I saw him.,Man á dist.
I saw one.,Man yakké dist.
I saw Tom.,Man Thám dist.
I saw you.,Man tará dist.
I see Tom.,Man Thámá gendán.
I slipped.,Man shetertán.
I stopped.,Man dásht.
I stopped.,Man óshtátán.
I took it.,Man é zort.
I want it.,Man lóthány.
I was new.,Man nókatán.
I was shy.,Man lajjué atán.
I was shy.,Maná lajj kanagá at.
I will go.,Man rawán.
I woke up.,Man ágah bitán.
I'd do it.,Man kanány.
I'd leave.,Man chedá rawán.
I'll call.,Man gwánk janán.
I'll call.,Man pawn kanán.
I'll come.,Man ká án.
I'll cook.,Man kanwar kanán.
I'll help.,Man madat kanán.
I'll live.,Man zendag bayán.
I'll live.,Man zendagi kanán.
I'll obey.,Man parmánbardári kanán.
I'll quit.,Man yalah kanán.
I'll sing.,Man sawt janán.
I'll stay.,Man jallán.
I'll stop.,Man dárán.
I'll stop.,Man óshtán.
I'll talk.,Man habar kanán.
I'll wait.,Man wadár kanán.
I'll walk.,Man krámán.
I'm a boy.,Man bachakké án.
I'm a Jew.,Man yahudié án.
I'm a kid.,Man gwandhué án.
I'm a man.,Man mardéné án.
I'm a man.,Man mardomé án.
I'm a spy.,Man chárigé án.
I'm alone.,Man éokán.
I'm angry.,Man zahrán.
I'm awake.,Man ágahán.
I'm blind.,Man kórán.
I'm bored.,Man bórán.
I'm broke.,Man kathápán.
I'm crazy.,Man ganókán.
I'm cured.,Man dráh butagán.
I'm drunk.,Man neshahán.
I'm drunk.,Man nóshetag o neshahán.
I'm dying.,Man meragá án.
I'm early.,Man mahlah atkagán.
I'm early.,Man mahlaw atkagán.
I'm first.,Man áwalig án.
I'm first.,Man awalig án.
I'm fussy.,Man shór o sháré án.
I'm going.,Man rawagá án.
I'm happy.,Man wassh án.
I'm lucky.,Man bahtáwaré án.
I'm lying.,Man dróg bandagá án.
I'm needy.,Man hájatmand án.
I'm obese.,Man zandhán.
I'm picky.,Man názgarré án.
I'm ready!,Man jádhián!
I'm ready.,Man jádhián.
I'm right.,Man rástán.
I'm sober.,Man hósh o másh án.
I'm sorry.,Maná pahell kan.
I'm stuck.,Man gatthán.
I'm tired.,Man dam bortag.
I'm tough.,Man trondán.
I'm upset.,Man náráhat án.
I'm yours.,Man taig án.
I've lost.,Man báhéntag.
Ignore it.,Delgóshy makan.
Is he Tom?,Á Thám ent?
Is it bad?,É haráb ent?
Is it far?,É dir ent?
Is it hot?,Garm ent?
Is it new?,É nók ent?
Is Tom in?,Thám tahá ent?
Is Tom OK?,Thám sharr ent?
It burned.,É sotk.
It poured.,Hawrá sakk gwárt.
It snowed.,Barpbári but.
It stinks.,É badén bu kant.
It worked.,Eshiá kár kot.
It's 3:30.,3:30 ent.
It's 7:45.,7:45 ent.
It's 8:30.,8:30 ent.
It's 9:15.,9:15 ent.
It's a TV.,É ThWé.
It's cold.,Gwahr ent.
It's cool.,É sharr ent.
It's dark.,Tahár ent.
It's easy.,É ásán ent.
It's fair.,É pa ensáp ent.
It's free.,É mopt ent.
It's hard.,É moshkol ent.
It's hard.,É grán ent.
It's here.,É edá ent.
It's late.,Béwahd ent.
It's mine.,É manig ent.
It's okay.,É sharr ent.
It's open.,É pach ent.
It's ours.,É mayg ent.
It's over.,É kotthetag.
It's over.,É halás ent.
It's sand.,É rékant.
It's true.,É rást ent.
It's work.,É kár ent.
Jump down.,Dawr kan.
Just swim.,Bass ózhnág kan.
Keep away.,Dir bay.
Keep away.,Gestá bi.
Keep back.,Poshtá bay.
Keep back.,Poshtá bi.
Keep calm.,Árám bay.
Keep calm.,Árám bi.
Keep cool.,Sárt bay.
Keep cool.,Sárt bi.
Keep down.,Watá jahl bedár.
Keep that.,Eshiá gón wat bedár.
Keep them.,Eshán gón wat bedár.
Keep this.,Eshiá gón wat bedár.
Keep warm.,Watá garm bedár.
Kill them.,Eshán bekosh.
Kill them.,Áyán bekosh.
Leave now.,Anni boraw.
Leave Tom.,Thámá yalah kan.
Let it be.,Belly bit.
Let me be.,Mani kárá kár madár.
Let me go!,Maná rawagá bell!
Let me go.,Bell man rawán.
Let me in.,Maná tahá poteragá bell.
Let us go.,Byá rawén.
Let's eat.,Byá warén.
Let's see.,Byá chárén.
Let's try!,Byá kóshest kanén!
Let's try!,Byá chárén!
Lie still.,Bewaps o masor.
Lie still.,Bé sor o porá bewaps.
Listen up.,Sharriá gósh dár.
Look away.,Dege némagé bechár.
Look back!,Poshtá bechár!
Look back.,Poshtá bechár.
Look down.,Jahlá bechár.
Look here.,Edá bechár.
Loosen it.,Rilly day.
Loosen it.,Sholagy kan.
Loosen up.,Shol kan.
Move over.,Kenz.
Nice shot!,Zabardastén sháthé!
Of course!,Allamá!
Of course.,Allamá.
Pardon me?,"Bebaksh, taw ché gosht?"
Please go.,Mehrabáni kan boraw.
Put it on.,Eshiá gwará kan.
Read this.,Eshiá bewán.
Repeat it.,Padá bekany.
Repeat it.,Gashty kan.
"Say ""aah.""","Begosh ""áh"""
Say hello.,Begosh hallaw.
See below.,Jahlá bechár.
Seize him!,Áiá beger!
Seriously?,Hakk o del?
Seriously?,Rásti?
She cried.,Áiá grét.
She tried.,Áiá kóshest kot.
She tried.,Áiá johd kot.
She walks.,Á krámit.
She walks.,Á pádáná rawt.
She's hot.,Á seksi jenekké.
Sign here.,Edá daznám bejan.
Sign this.,Eshiá daznám bejan.
Sit by me.,Mani kerrá benend.
Sit still.,Bé sor o porá benend.
Sit still.,Bé sor o porá benend!
Sit there.,Ódá benend.
Sit tight.,Alkápá benend.
Start now.,Anni bendát kan.
Stay away.,Watá dir bedár.
Stay back.,Watá poshtá bedár.
Stay calm.,Árám bay.
Stay calm.,Árám bi.
Stay cool.,Árámá benend.
Stay down!,Watá jahlá bedár!
Stay down.,Watá jahlá bedár.
Stay home.,Lógá bebay.
Stay home.,Lógá bejall.
Stay thin.,Watá lágar bedár.
Step back.,Pad kenz.
Stop here.,Hamedá bedár.
Stop that!,Chó makan!
Stop that.,Chó makan.
Stop them.,Áyán bedár.
Stop them.,Áyán mayl.
Take care!,Hayálá bedár!
Take care.,Sambál.
Take care.,Hayálá bedár.
Take mine.,Manigá bezir.
Take over.,Kabzahy kan.
Take this.,Eshiá bezir.
Thank you.,Mennatwár án.
That hurt.,Eshiá tawrént.
That's it.,Bass hamésh ent.
That's me.,É man án.
That's OK.,Sharr ent.
Then what?,Godhá ché?
They fell.,Á kaptant.
They lied.,Áyán drog bast.
They lost.,Áyán babá dát.
They swam.,Áyán ózhnág kot.
Time's up.,Wahd halás ent.
Tom began.,Thámá shrou kot.
Tom bowed.,Thám dotal but.
Tom cried.,Thámá grét.
Tom dived.,Thámá bokk wárt.
Tom dived.,Thámá goláthi wárt.
Tom dozed.,Thám hobénag but.
Tom dozed.,Thám obénag but.
Tom drove.,Thámá gádhi tátk.
Tom drove.,Thámá gádhi halláént.
Tom froze.,Thám thanth et.
Tom is in.,Thám tahá ent.
Tom is OK.,Thám sharr ent.
Tom is up.,Thám ágah ent.
Tom knelt.,Thám kóndháni sará nesht.
Tom knelt.,Thám kóndhán kapt.
Tom knits.,Thám pazhmgwápi kant.
Tom knows.,Thám zánt.
Tom moved.,Thám sor et.
Tom rocks.,Thám loddhit.
Tom slept.,Thám wapt.
Tom spoke.,Thámá gapp jat.
Tom stood.,Thám óshtát.
Tom swims.,Thám ózhnág kant.
Tom swore.,Thámá sawgend wárt.
Tom tried.,Thámá kóshest kot.
Tom tried.,Thámá johd kot.
Tom tries.,Thám johd kant.
Tom voted.,Thámá óth dát.
Tom walks.,Thám krámit.
Tom walks.,Thám pádáná rawt.
Tom waved.,Thámá dast sorént.
Tom works.,Thám kár kant.
Tom'll go.,Thám rawt.
Tom's fat.,Thám zandh ent.
Tom's mad.,Thám ganók ent.
Tom's sad.,Thám molur ent.
Tom's shy.,Thámá lajj kant.
Trust Tom.,Thámay sará barósah kan.
Trust Tom.,Thámay sará óst kan
Try again.,Padá kóshest bekan.
Try again.,Padá johd bekan.
Try it on.,Pareshiá kóshest bekan.
Try it on.,Pareshiá johd bekan.
Unlock it.,Bójy.
Unlock it.,Kobláy pach kan.
Watch out!,Sambál!
Watch Tom.,Thámá bechár.
We agreed.,Má mann et.
We can go.,Má shot kanén.
We did it!,É má kot!
We did it.,É má kot.
We failed.,Má bésób bitén.
We forgot.,Má béhál bitén.
We prayed.,Má dwá kot.
We saw it.,É má dist.
We smiled.,Má bechkand et.
We talked.,Má gapp jat.
